Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Seprod Ltd,129931,89451,Jamaica,Jamaica,10005,Consumer Non-Cyclical,85.78130482,80.28899132,74.29994717,67.68899092,70.32832342,70.88155731,70.98739541,62.9854993,59.03199264,52.82204638,48.41924191,44.16580519,40.79364971
Pulse Investments Ltd,143158,89586,Jamaica,Jamaica,10008,Financial,9.681288118,14.03848981,18.25026134,22.13356186,55.86949289,123.7825522,231.124418,125.7923378,68.92534733,40.11501955,29.09264887,21.95317964,17.04250679
Jamaica Stock Exchange Ltd/The,14925116,89633,Jamaica,Jamaica,10008,Financial,0.274860316,0.315996391,0.344645154,0.372687329,0.842561155,1.677234247,2.862200497,1.451606003,0.754286287,0.40921719,0.27331708,0.192216426,0.139977788
Kingston Properties Ltd,15078761,89637,Jamaica,Jamaica,10008,Financial,9.487080577,15.22537623,17.82070764,30.3598572,85.20630243,224.8737959,397.4507649,205.5001026,101.7158554,59.79576611,43.12409662,34.81457928,26.36636846
Kingston Wharves Ltd,171335,90900,Jamaica,Jamaica,10004,Consumer Cyclical,3.756918026,3.441217424,2.620254216,2.269021333,4.50247596,8.20671949,12.97237239,8.279862207,5.751582486,4.23111994,3.332829984,2.69425007,2.20220996
Access Financial Services Ltd,17385813,91126,Jamaica,Jamaica,10008,Financial,17.08847129,22.66551087,26.10883731,30.49462822,80.00283001,174.7292194,319.6454775,203.903335,122.9119322,77.64889734,61.23275768,51.44440361,44.65196006
Jamaican Teas Ltd,20144649,91265,Jamaica,Jamaica,10005,Consumer Non-Cyclical,51.52202294,43.9601894,38.49259822,34.07123266,33.62327871,33.01724235,31.9061744,28.25656564,26.20652489,23.51129173,21.04190317,18.12388693,15.8545333
Cargo Handlers Ltd,23492858,91484,Jamaica,Jamaica,10005,Consumer Non-Cyclical,0.305224824,0.2935154,0.237845823,0.197302262,0.188250502,0.186464204,0.181543862,0.158847275,0.153810175,0.137551524,0.122425512,0.112255185,0.100001462
Dolphin Cove Ltd,23492874,91485,Jamaica,Jamaica,10004,Consumer Cyclical,60.07309026,57.68710034,48.66838276,43.22815708,88.52974753,165.5235431,260.8018354,164.7597206,115.6296661,85.46649243,68.04225693,53.46116798,43.9787236
Barita Investments Ltd,905793,91934,Jamaica,Jamaica,10008,Financial,15.88523229,23.29285773,31.50987482,37.58232048,84.34771174,167.4315903,302.6536242,170.48146,104.2335099,61.37176906,40.77098413,27.78216221,21.39381337
